15500,15630,1800004,2020/09/08 09:04:01
15500,15630,1800127,2020/09/08 09:04:01
15500,15630,1800128,2020/09/08 09:04:01
15500,15630,1800129,2020/09/08 09:04:01
15500,15630,1800130,2020/09/08 09:04:01
15500,15630,1800131,2020/09/08 09:04:01
15500,15630,1800132,2020/09/08 09:04:01
15500,15630,1800133,2020/09/08 09:04:01
15500,15630,1800134,2020/09/08 09:04:01
15500,15630,1800135,2020/09/08 09:04:01
15500,15630,1800136,2020/09/08 09:04:01
15500,15630,1800137,2020/09/08 09:04:01
15500,15630,1800138,2020/09/08 09:04:01
15500,15630,1800139,2020/09/08 09:04:01
15500,15630,1800140,2020/09/08 09:04:01
15500,15630,1800141,2020/09/08 09:04:01
15500,15630,1800142,2020/09/08 09:04:01
15500,15630,1800143,2020/09/08 09:04:01
15500,15630,1800144,2020/09/08 09:04:01
15500,15630,1800145,2020/09/08 09:04:01
15500,15630,1800146,2020/09/08 09:04:01
15500,15630,1800147,2020/09/08 09:04:01
15500,15630,1800149,2020/09/08 09:04:01
15600,15620,1800074,2020/09/08 09:04:04
15600,15620,1800127,2020/09/08 09:04:04
15900,28000,1800010,2020/09/08 09:04:07
15900,28000,1800117,2020/09/08 09:04:07
15900,28000,1800118,2020/09/08 09:04:07
15900,28000,1800119,2020/09/08 09:04:07
15900,28000,1800120,2020/09/08 09:04:07
28300,28500,1800020,2020/09/08 09:04:11
28300,28500,1800070,2020/09/08 09:04:11
28300,28500,1800116,2020/09/08 09:04:11
28700,28800,1800003,2020/09/08 09:04:14
28700,28800,1800018,2020/09/08 09:04:14
28700,28800,1800045,2020/09/08 09:04:14
28700,28800,1800061,2020/09/08 09:04:14
28700,28800,1800101,2020/09/08 09:04:14
35900,38100,1800102,2020/09/08 09:04:19
35900,38100,1800103,2020/09/08 09:04:19
35900,38100,1800105,2020/09/08 09:04:19
35900,38100,1800109,2020/09/08 09:04:19
